property_type,area_units,area_m2,land_area,rooms,floor,total_floors,has_repair,has_kupca,has_mortgage,photo_count,city,location_level_2,location_level_3,floor_ratio,is_first_floor,is_top_floor,area_per_room,description_has_parking,description_has_furnished,price_azn
menziller/yeni-tikili,m²,135.0,,3.0,8.0,18.0,False,True,True,4,Bakı,nizami-metrosu,,0.4444444444444444,False,False,45.0,True,,390000
menziller/yeni-tikili,m²,53.0,,2.0,10.0,17.0,True,True,True,17,Bakı,nerimanov,,0.5882352941176471,False,False,26.5,False,,235000
menziller/yeni-tikili,m²,188.0,,3.0,5.0,20.0,True,True,True,30,Bakı,8-noyabr,,0.25,False,False,62.666666666666664,False,True,500000
menziller/kohne-tikili,m²,65.0,,2.0,6.0,9.0,True,True,False,7,Bakı,nesimi-metrosu,,0.6666666666666666,False,False,32.5,False,,200000
torpaq,sot,8.0,,,,,,False,False,1,Bakı,suraxani,hovsan,,,,,False,,27000
menziller/yeni-tikili,m²,116.0,,3.0,15.0,16.0,True,True,False,15,Bakı,neriman-nerimanov,,0.9375,False,False,38.666666666666664,True,,460000
menziller/yeni-tikili,m²,115.0,,3.0,3.0,7.0,True,False,False,9,Bakı,qara-qarayev,,0.42857142857142855,False,False,38.333333333333336,False,,330000
menziller/yeni-tikili,m²,137.0,,4.0,9.0,16.0,True,True,True,21,Bakı,sah-ismayil-xetai,,0.5625,False,False,34.25,False,,430000
heyet-evleri,m²,130.0,2.3,4.0,,,True,True,False,12,Bakı,abseron,saray,,,,32.5,False,,85500
menziller/yeni-tikili,m²,134.0,,3.0,3.0,16.0,True,True,True,11,Bakı,hezi-aslanov,,0.1875,False,False,44.666666666666664,False,True,325000
menziller/yeni-tikili,m²,100.0,,3.0,15.0,19.0,True,True,True,21,Bakı,8-noyabr,,0.7894736842105263,False,False,33.333333333333336,False,,265000
menziller/yeni-tikili,m²,77.0,,2.0,5.0,24.0,True,False,False,27,Bakı,insaatcilar,,0.20833333333333334,False,False,38.5,True,,195000
menziller/kohne-tikili,m²,85.0,,3.0,4.0,9.0,True,True,True,11,Bakı,sabuncu,bakixanov,0.4444444444444444,False,False,28.333333333333332,False,True,239000
menziller/kohne-tikili,m²,25.0,,1.0,2.0,2.0,True,True,False,5,Bakı,28-may,,1.0,False,True,25.0,False,,93000
menziller/yeni-tikili,m²,147.0,,3.0,10.0,16.0,True,True,False,15,Bakı,sah-ismayil-xetai,,0.625,False,False,49.0,False,,430000
menziller/kohne-tikili,m²,90.0,,3.0,4.0,5.0,True,True,True,11,Bakı,sabuncu,bakixanov,0.8,False,False,30.0,False,,230000
menziller/kohne-tikili,m²,80.0,,3.0,7.0,9.0,True,True,True,14,Bakı,ehmedli,,0.7777777777777778,False,False,26.666666666666668,False,,200000
heyet-evleri,m²,540.0,16.0,6.0,,,True,True,True,30,Bakı,xezer,,,,,90.0,False,,1700000
menziller/yeni-tikili,m²,45.0,,2.0,12.0,13.0,True,True,False,12,Xırdalan,,,0.9230769230769231,False,False,22.5,False,,94500
menziller/yeni-tikili,m²,86.0,,2.0,7.0,17.0,True,True,True,15,Bakı,elmler-akademiyasi,,0.4117647058823529,False,False,43.0,False,True,438000
menziller/yeni-tikili,m²,110.0,,3.0,3.0,7.0,True,False,False,9,Bakı,qara-qarayev,,0.42857142857142855,False,False,36.666666666666664,False,,330000
menziller/yeni-tikili,m²,80.0,,3.0,8.0,16.0,True,False,False,21,Bakı,28-may,,0.5,False,False,26.666666666666668,False,,310000
ofisler,m²,252.0,,6.0,,,True,True,True,10,Bakı,sah-ismayil-xetai,,,,,42.0,False,True,700000
menziller/kohne-tikili,m²,100.0,,4.0,5.0,9.0,True,True,True,17,Bakı,insaatcilar,,0.5555555555555556,False,False,25.0,False,,240000
